Data da Homologação;Número de Homologação;Nome do Solicitante;CNPJ do Solicitante;Certificado de Conformidade Técnica;Data do Certificado de Conformidade Técnica;Data de Validade do Certificado;Código de Situação do Certificado;Situação do Certificado;Código de Situação do Requerimento;Situação do Requerimento;Nome do Fabricante;Modelo;Nome Comercial;Categoria do Produto;Tipo do Produto;IC_ANTENA;IC_ATIVO;País do Fabricante;CodUIT;CodISO
2025-01-27;47691805099.0;WS AUDIOLOGY SOLUCOES AUDITIVAS LTDA;14011614000183;UL-BR 19.0148;04/02/2019;03/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Sivantos GmbH;Mosaic HP 20 E1;;2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Alemanha;D;DEU
2025-01-27;47691805099.0;WS AUDIOLOGY SOLUCOES AUDITIVAS LTDA;14011614000183;UL-BR 19.0148;04/02/2019;03/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Sivantos GmbH;Sterling 30 E1 CIC;;2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Alemanha;D;DEU
2025-01-27;47691805099.0;WS AUDIOLOGY SOLUCOES AUDITIVAS LTDA;14011614000183;UL-BR 19.0148;04/02/2019;03/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Sivantos GmbH;Sterling 20 E1 CIC;;2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Alemanha;D;DEU
2025-01-27;47691805099.0;WS AUDIOLOGY SOLUCOES AUDITIVAS LTDA;14011614000183;UL-BR 19.0148;04/02/2019;03/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Sivantos GmbH;Sterling 30 E1 ITC;;2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Alemanha;D;DEU
2025-01-27;47691805099.0;WS AUDIOLOGY SOLUCOES AUDITIVAS LTDA;14011614000183;UL-BR 19.0148;04/02/2019;03/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Sivantos GmbH;Sterling 20 E1 ITC;;2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Alemanha;D;DEU
2025-01-02;70991901749.0;TAIT COMUNICACOES BRASIL LTDA;67116715000185;NCC 17533/19;26/09/2019;26/09/2025 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Tait Limited;T03-00068-Kxyz;TP9300;1;Transceptor Troncalizado - Portátil;N;S;Nova Zelândia;NZL;NZL
2025-01-02;70991901749.0;TAIT COMUNICACOES BRASIL LTDA;67116715000185;NCC 17533/19;26/09/2019;26/09/2025 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Tait Limited;T03-00068-Kxyz;TP9300;2;Transceptor de Radiação Restrita;N;S;Nova Zelândia;NZL;NZL
2025-01-02;70991901749.0;TAIT COMUNICACOES BRASIL LTDA;67116715000185;NCC 17533/19;26/09/2019;26/09/2025 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Tait Limited;T03-00068-Kxyz;TP9400;1;Transceptor Troncalizado - Portátil;N;S;Nova Zelândia;NZL;NZL
2025-01-02;70991901749.0;TAIT COMUNICACOES BRASIL LTDA;67116715000185;NCC 17533/19;26/09/2019;26/09/2025 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Tait Limited;T03-00068-Kxyz;TP9400;2;Transceptor de Radiação Restrita;N;S;Nova Zelândia;NZL;NZL
2025-01-21;75691904131.0;SIGNIFY ILUMINACAO BRASIL LTDA.;22555787000190;Versys 2457;11/10/2019;11/10/2025 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Signify B.V.;9290012607;;2;Transceptor de Radiação Restrita;N;S;Holanda;HOL;NLD
2025-01-21;32601912088.0;DKAF DO BRASIL REPRESENTACOES LTDA - EPP;27095886000150;Versys 2291;22/04/2019;22/04/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;VEGA Grieshaber KG;METF_D;;2;Transceptor de Radiação Restrita;N;S;Alemanha;D;DEU
2025-01-02;4191801138.0;TERACOM TELEMATICA S.A.;2820966000109;OCP 01218;06/02/2018;05/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;TERACOM TELEMATICA S.A.;DM4360 4GT+4GX;;3;Equipamento de Rede de Dados;N;S;Brasil;BRA;BRA
2025-01-02;80721912598.0;CABOMIX CONDUTORES ELETRICOS LTDA;11084556000120;19CTCP0632/00;06/11/2019;06/11/2025 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;CABOMIX CONDUTORES ELETRICOS LTDA;CABO LAN CAT 5e UTP 24AWG x 4P – CM;;1;Cabo para Transmissão de Dados;N;S;Brasil;BRA;BRA
